Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
Q2,DMP6050SPS-13,Top,PowerDI5060-8,47.448,33.794,270,MOSFET P-Channel Vds=60V Vgs=+-20V Id=26A Rds(on|=50mOhms
Q1,DMP6050SPS-13,Top,PowerDI5060-8,41.143,33.794,90,MOSFET P-Channel Vds=60V Vgs=+-20V Id=26A Rds(on|=50mOhms
X1,16MHz,Top,XTAL_2520,64.1,82.4,90,Crystal SMD 2520
U3,SY8303AIC,Top,TSOT23-8,47.006,67.614,180,"High Efficiency Fast Response, 3A, 40V Input Synchronous Step Down Regulator"
U2,CYPD3177-24LQXQ,Top,QFN-24-0MM5,50.225,52.455,180,USB Type-C Port Controller for Power Sinks
U1,INA180A4IDBVT,Top,SOT-23-5,61.4,42.7,0,Current Sense Amplifier 200V/V Gain 105kHz BW SOT-23-5
R30,20k,Top,RES_0402,46.1,71.3,270,Resistor SMD 0402
R29,2k2,Top,RES_0402,47.1,73.4,180,Resistor SMD 0402
R28,20k,Top,RES_0402,47.8,71.3,90,Resistor SMD 0402
R27,20k,Top,RES_0402,47.1,76.8,180,Resistor SMD 0402
R26,20k,Top,RES_0402,47.1,78.5,180,Resistor SMD 0402
R25,20k,Top,RES_0402,49.8,66.7,270,Resistor SMD 0402
R24,2k2,Top,RES_0402,55.7,58.5,180,Resistor SMD 0402
R23,DNP,Top,RES_0402,55.7,56.9,0,Resistor SMD 0402
R22,2k2,Top,RES_0402,55.7,55.3,180,Resistor SMD 0402
R21,2k2,Top,RES_0402,51.8,69.1,180,Resistor SMD 0402
R20,2k2,Top,RES_0402,55.7,53.7,0,Resistor SMD 0402
R19,2k2,Top,RES_0402,55.7,46.1,180,Resistor SMD 0402
R18,2k2,Top,RES_0402,55.7,47.7,0,Resistor SMD 0402
R17,20k,Top,RES_0402,52.2,59.9,270,Resistor SMD 0402
R16,2k2,Top,RES_0402,55.7,49.3,180,Resistor SMD 0402
R15,2k2,Top,RES_0402,55.7,50.9,0,Resistor SMD 0402
R14,2k2,Top,RES_0402,46.3,59.9,0,Resistor SMD 0402
R13,2k2,Top,RES_0402,52.4,57.3,180,Resistor SMD 0402
R12,2k2,Top,RES_0402,44,55.4,0,Resistor SMD 0402
R11,2k2,Top,RES_0402,44,57.2,0,Resistor SMD 0402
R10,2k2,Top,RES_0402,48.5,57.3,0,Resistor SMD 0402
R9,2k2,Top,RES_0402,58,54,270,Resistor SMD 0402
R8,2k2,Top,RES_0402,59.8,46.1,270,Resistor SMD 0402
R7,2k2,Top,RES_0402,47.939,39.628,90,Resistor SMD 0402
R6,2k2,Top,RES_0402,44.383,39.628,270,Resistor SMD 0402
R5,2k2,Top,RES_0402,75,45.6,0,Resistor SMD 0402
R4,20k,Top,RES_0402,72.4,43.9,0,Resistor SMD 0402
R3,20k,Top,RES_0402,72.4,45.6,0,Resistor SMD 0402
